X,y
2007.08,49.0317
2007.11,47.7654
2007.13,46.4618
2007.16,45.1397
2007.18,43.8175
2007.2,42.514
2007.22,41.1918
2007.24,39.8883
2007.28,38.6406
2007.32,37.4115
2007.35,36.1639
2007.38,34.8603
2007.4,33.5382
2007.42,32.216
2007.43,30.8939
2007.45,29.5717
2007.47,28.2682
2007.48,26.946
2007.5,25.6238
2007.52,24.3017
2007.54,22.9795
2007.56,21.676
2007.58,20.3724
2007.6,19.0503
2007.62,17.7467
2007.65,16.4432
2007.67,15.1397
2007.69,13.7803
2007.73,12.4209
2007.79,11.4339
2007.87,11.2663
2007.93,11.9553
2007.96,13.1844
2007.96,14.5624
2007.96,15.9404
2007.96,17.2998
2007.97,18.6406
2007.97,19.9814
2007.97,21.3222
2007.97,22.6629
2007.98,24.0037
2007.98,25.3445
2007.98,26.6853
2007.99,28.0261
2007.99,29.3669
2007.99,30.7076
2008,32.0484
2008,33.3892
2008,34.73
2008,36.0708
2008.01,37.4115
2008.01,38.7523
2008.01,41.4339
2008.01,40.0931
2008.01,42.7747
2008.02,44.1155
2008.02,45.4562
2008.02,46.797
2008.03,48.1378
2008.04,49.46
2008.04,57.5047
2008.04,56.1639
2008.04,53.4823
2008.04,54.8231
2008.04,52.1415
2008.04,50.8007
2008.07,48.4171
2008.07,47.0764
2008.08,45.7356
2008.09,44.3948
2008.09,43.054
2008.09,41.7132
2008.1,40.3724
2008.1,39.0317
2008.1,37.6909
2008.11,36.3501
2008.11,35.0093
2008.12,33.8547
2008.12,32.3464
2008.15,31.1732
2008.17,29.6648
2008.18,28.8268
2008.2,27.9888
2008.25,28.9944
2008.27,29.5717
2008.29,30
2008.31,30.5028
2008.34,30.838
2008.35,30.1676
2008.36,28.8268
2008.37,28.622
2008.39,27.2998
2008.41,25.9777
2008.42,24.6555
2008.43,24.6369
2008.44,23.3333
2008.46,22.0298
2008.47,20.7076
2008.49,19.3855
2008.51,18.0633
2008.53,16.7412
2008.54,15.3818
2008.57,14.0223
2008.61,12.8492
2008.69,12.1601
2008.79,12.1229
2008.87,12.7002
2008.92,13.743
2008.95,15.0279
2008.95,16.3873
2008.95,17.7654
2008.96,19.1061
2008.96,20.4469
2008.96,21.7877
2008.97,23.1285
2008.97,24.4693
2008.97,25.8101
2008.98,27.1508
2008.98,28.4916
2008.99,29.8324
2008.99,31.1732
2008.99,32.514
2008.99,33.8547
2009,36.5363
2009,35.1955
2009,37.8771
2009.01,39.1993
2009.02,44.5251
2009.02,40.5028
2009.02,43.1844
2009.02,41.8436
2009.03,39.8138
2009.06,38.5289
2009.07,37.1881
2009.07,35.8473
2009.08,34.5065
2009.08,33.1657
2009.09,31.8436
2009.12,30.5773
2009.15,31.8436
2009.18,32.6816
2009.19,33.1099
2009.23,31.5456
2009.26,30.2793
2009.29,28.9758
2009.31,27.6723
2009.33,26.3687
2009.35,25.0466
2009.37,23.743
2009.4,22.4395
2009.43,21.1546
2009.46,19.9069
2009.5,18.6592
2009.52,17.3557
2009.54,16.0335
2009.56,14.73
2009.59,13.4078
2009.62,12.1229
2009.66,10.9311
2009.74,10
2009.84,9.8324
2009.9,10.689
2009.93,12.0112
2009.95,13.4078
2009.95,14.7858
2009.96,16.1453
2009.96,17.486
2009.97,18.8268
2009.98,20.1676
2009.99,21.5084
2009.99,22.8492
2010,24.1899
2010,25.5493
2010.01,26.8715
2010.04,28.0819
2010.08,29.1806
2010.11,30.4097
2010.12,31.7318
2010.13,32.3464
2010.14,33.6872
2010.15,33.0168
2010.16,35.5493
2010.17,34.9534
2010.18,34.2458
2010.2,33.6685
2010.2,33.5568
2010.23,32.2533
2010.25,30.9497
2010.26,29.6276
2010.28,28.3054
2010.29,26.9832
2010.3,25.6425
2010.31,24.3203
2010.32,22.9981
2010.34,21.6574
2010.35,20.3166
2010.36,18.9572
2010.37,17.5978
2010.41,16.3687
2010.48,15.5307
2010.51,16.1266
2010.56,17.2626
2010.65,16.5736
2010.7,15.4004
2010.79,14.6369
2010.79,14.73
2010.85,15.8473
2010.9,14.6927
2010.96,14.5996
2011.02,15.7356
2011.05,14.4693
2011.08,13.2588
2011.14,12.1229
2011.21,11.0428
2011.29,10.2607
2011.38,10.0745
2011.46,10.6518
2011.47,10.7076
2011.55,10.0186
2011.62,9.03166
2011.69,8.1378
2011.79,8.19367
2011.87,8.91993
2011.92,10.0559
2011.96,11.3408
2011.99,12.6443
2012.03,13.892
2012.08,15.0652
2012.14,16.108
2012.19,15.9032
2012.26,14.9534
2012.34,14.0968
2012.4,12.9609
2012.45,11.8622
2012.5,10.6518
2012.55,9.4041
2012.62,8.28678
2012.7,7.61639
2012.78,7.74674
2012.85,8.56611
2012.89,9.77654
2012.91,11.1173
2012.93,12.4581
2012.94,13.7989
2012.95,15.1397
2012.96,16.4804
2012.97,17.8212
2012.98,19.1434
2012.99,20.4842
2013,21.8063
2013.04,23.0354
2013.08,24.2086
2013.12,25.4004
2013.15,26.6667
2013.17,27.9888
2013.19,29.311
2013.21,30.6331
2013.23,31.9553
2013.25,33.2216
2013.29,34.4693
2013.32,35.4004
2013.36,34.1527
2013.38,32.8492
2013.42,31.6201
2013.46,33.7616
2013.48,35.0652
2013.54,36.1825
2013.58,35.6797
2013.58,34.3389
2013.6,32.9981
2013.61,31.676
2013.62,30.3538
2013.63,29.013
2013.64,27.6909
2013.65,26.3687
2013.67,25.0466
2013.68,23.7244
2013.7,22.4022
2013.71,21.0801
2013.72,19.7579
2013.75,18.4544
2013.79,17.2067
2013.84,17.0019
2013.89,18.2123
2013.91,19.4972
2013.93,20.8194
2013.93,22.1601
2013.94,23.5009
2013.95,24.8417
2013.96,26.1825
2013.96,27.5233
2013.97,28.8641
2013.98,30.2048
2013.98,31.5456
2013.99,32.8864
2013.99,34.2272
2014.01,35.5493
2014.03,36.8529
2014.06,38.1564
2014.08,39.46
2014.09,40.8007
2014.1,42.1415
2014.11,43.4823
2014.12,44.8231
2014.13,46.1639
2014.14,47.5047
2014.15,48.8268
2014.17,50.3352
2014.19,50.0931
2014.22,49.1993
2014.25,47.9143
2014.26,46.5736
2014.27,45.2328
2014.28,43.892
2014.29,42.5512
2014.3,41.2291
2014.31,39.8883
2014.32,38.5475
2014.33,37.2067
2014.33,35.8659
2014.34,34.5251
2014.34,33.1844
2014.35,31.8436
2014.35,30.5028
2014.36,29.162
2014.36,27.8212
2014.37,26.4804
2014.37,25.1397
2014.38,23.7989
2014.38,22.4581
2014.39,21.1173
2014.4,19.7765
2014.4,16.7784
2014.4,18.4358
2014.41,17.095
2014.41,15.7542
2014.43,14.432
2014.46,15.568
2014.47,16.2197
2014.5,16.7784
2014.54,17.2626
2014.6,16.3128
2014.6,16.2011
2014.64,15.1769
2014.68,13.7989
2014.74,12.5885
2014.81,11.9739
2014.88,12.4022
2014.93,13.4823
2014.96,14.8045
2014.99,16.1453
2015.02,17.4674
2015.05,18.7523
2015.07,20.0372
2015.09,21.3408
