X,Y
2018.9,16.2124
2018.82,13.191
2018.73,13.1899
2018.67,12.64
2018.56,9.61813
2018.47,9.34245
2018.4,8.24316
2018.37,6.45791
2018.32,3.84868
2018.29,0.278527
2018.25,-3.841
2018.17,-4.39109
2018.06,-2.47015
2018,-2.74546
2017.99,-1.81503
2017.99,-3.84404
2017.97,-0.716831
2017.97,0.396783
2017.97,1.49514
2017.96,2.59348
2017.96,3.69182
2017.95,4.79016
2017.94,5.8885
2017.94,6.98681
2017.93,8.08513
2017.92,9.18341
2017.92,10.2818
2017.91,11.3801
2017.91,12.5395
2017.89,13.6987
2017.83,14.5371
2017.73,14.7189
2017.71,14.6577
2017.7,13.6659
2017.67,12.5977
2017.64,11.5295
2017.62,10.4613
2017.59,9.37783
2017.55,8.33997
2017.49,7.36297
2017.43,6.41643
2017.39,5.40907
2017.37,4.32565
2017.35,3.22709
2017.34,2.14375
2017.32,1.06039
2017.3,-0.0229527
2017.29,-1.10625
2017.27,-2.18967
2017.24,-3.56295
2017.23,-4.64625
2017.2,-2.5718
2017.19,-1.70243
2017.17,-1.30598
2017.17,-2.83156
2017.15,-1.56551
2017.12,-0.498017
2017.1,0.584848
2017.07,1.66769
2017.05,2.75056
2017.03,3.83344
2017.01,4.91637
2016.99,5.98404
2016.98,7.08228
2016.97,8.18061
2016.97,9.27899
2016.97,10.3774
2016.96,11.4757
2016.96,12.574
2016.95,13.6724
2016.95,15.8691
2016.95,14.7707
2016.94,16.9675
2016.94,18.0658
2016.93,19.1642
2016.93,20.2625
2016.92,21.3608
2016.92,22.4592
2016.92,23.5576
2016.91,24.6559
2016.9,25.7542
2016.9,26.8525
2016.88,27.9355
2016.87,29.0184
2016.85,30.1014
2016.83,31.1843
2016.82,31.8402
2016.74,31.2901
2016.73,30.3899
2016.7,30.7403
2016.67,28.5432
2016.58,29.3659
2016.56,28.2673
2016.5,25.7952
2016.48,26.4815
2016.47,27.5798
2016.45,28.6322
2016.42,29.6235
2016.42,30.7828
2016.41,31.9117
2016.4,32.9946
2016.38,34.0776
2016.37,35.1606
2016.35,36.2435
2016.34,37.3265
2016.33,38.4095
2016.32,39.5078
2016.31,40.6061
2016.31,41.7045
2016.31,42.8029
2016.3,43.9012
2016.3,49.3932
2016.3,50.4916
2016.3,44.9996
2016.3,48.2947
2016.3,46.0979
2016.29,47.1963
2016.29,51.5746
2016.28,52.6729
2016.28,53.7865
2016.26,63.9007
2016.26,54.8389
2016.26,62.8023
2016.26,61.7039
2016.25,60.6207
2016.24,59.5221
2016.24,58.4237
2016.24,57.4168
2016.18,55.6771
2016.16,56.6379
2016.14,55.6461
2016.14,51.283
2016.14,50.1999
2016.14,54.5629
2016.13,49.1014
2016.13,53.4644
2016.13,52.366
2016.12,48.018
2016.1,46.9195
2016.09,45.8209
2016.09,44.7225
2016.08,43.624
2016.08,42.5256
2016.07,41.4271
2016.07,40.3287
2016.06,39.2302
2016.06,38.1317
2016.05,37.0333
2016.05,35.9349
2016.05,34.8364
2016.04,33.7379
2016.03,32.6395
2016.03,31.541
2016.02,30.4426
2016.02,28.2457
2016.02,29.3441
2016.02,27.1473
2016.01,26.0488
2016.01,24.9504
2016.01,23.852
2016,22.7535
2016,21.655
2015.99,20.5566
2015.99,19.4582
2015.99,18.3598
2015.98,16.5901
2015.98,17.2613
2015.96,16.1779
2015.91,13.7059
2015.74,14.2531
2015.7,14.3899
2015.63,14.1146
2015.48,3.54069
2015.39,1.61742
2015.32,0.792732
2015.24,7.65683
2015.15,3.94866
2015.06,4.63409
2015.03,1.75044
2015,-0.858615
2014.98,0.239605
2014.97,2.98542
2014.95,5.73124
2014.94,7.24136
2014.94,8.75166
2014.92,11.9094
2014.92,10.3991
2014.92,11.0856
2014.89,13.0074
2014.82,13.693
2014.8,14.242
2014.77,15.3401
2014.75,16.4383
2014.69,17.3987
2014.65,18.0846
2014.59,19.4569
2014.56,20.2804
2014.53,19.5935
2014.5,18.4948
2014.47,17.5333
2014.44,16.2973
2014.41,13.9628
2014.41,14.9239
2014.39,16.1594
2014.38,18.2188
2014.38,17.3949
2014.37,21.5138
2014.37,20.3849
2014.37,22.6122
2014.36,23.7106
2014.36,19.2254
2014.36,24.8089
2014.35,25.9072
2014.34,27.0055
2014.34,28.1039
2014.34,29.2023
2014.33,30.3006
2014.33,31.3989
2014.32,32.4973
2014.31,33.5955
2014.3,34.6938
2014.28,35.7767
2014.27,36.875
2014.25,37.9579
2014.25,39.041
2014.24,40.1393
2014.23,41.2223
2014.2,42.1678
2014.19,41.2524
2014.14,40.367
2014.13,43.1282
2014.11,39.3445
2014.09,38.2307
2014.09,37.1017
2014.08,36.0032
2014.07,34.9046
2014.05,33.8213
2014.04,32.738
2014.02,31.6395
2014.01,30.5562
2014,29.4577
2013.98,28.3743
2013.91,27.4429
2013.86,26.4659
2013.83,25.3824
2013.8,25.4736
2013.77,26.3581
2013.74,27.4103
2013.72,28.5085
2013.71,29.6068
2013.7,30.705
2013.69,31.8033
2013.67,32.9016
2013.66,33.9846
2013.65,35.0829
2013.65,36.1812
2013.64,37.2794
2013.63,38.3777
2013.62,39.476
2013.6,40.5743
2013.6,43.8389
2013.6,42.7557
2013.59,41.6725
2013.59,45.5779
2013.57,44.4945
2013.56,44.8911
2013.56,46.6454
2013.51,44.5854
2013.47,43.5627
2013.45,42.4794
2013.45,40.3283
2013.44,41.3962
2013.44,39.2604
2013.42,38.1618
2013.4,37.0631
2013.37,36.0101
2013.33,34.9876
2013.31,33.9346
2013.3,30.6699
2013.3,31.753
2013.3,32.8361
2013.29,29.5866
2013.27,28.5032
2013.25,26.3366
2013.24,27.435
2013.23,25.2533
2013.22,24.1548
2013.21,23.0715
2013.2,21.973
2013.19,20.8745
2013.17,19.7759
2013.15,18.6925
2013.13,18.3414
2013.06,19.4389
2013.01,17.6535
2012.98,16.692
2012.95,15.1814
2012.86,13.8073
2012.83,12.7085
2012.8,12.9828
2012.72,13.1192
2012.68,12.5694
2012.63,11.8824
2012.58,10.9208
2012.55,11.6069
2012.51,12.1556
2012.47,12.7501
2012.46,12.75
2012.39,13.5272
2012.38,12.4286
2012.37,12.0167
2012.35,10.9333
2012.34,9.84997
2012.33,8.85825
2012.31,8.76657
2012.28,5.69982
2012.24,2.95328
2012.21,4.32592
2012.17,5.83587
2012.13,7.34563
2012.1,8.44367
2012.05,8.58043
2012.05,9.12963
2012.04,7.06996
2012.02,6.10868
2011.99,7.14568
2011.99,6.09303
2011.99,4.99461
2011.98,8.18294
2011.96,9.25058
2011.95,10.3641
2011.94,11.4623
2011.93,13.7964
2011.93,12.5606
2011.92,13.6589
2011.92,14.7573
2011.9,15.169
2011.89,15.3062
2011.86,14.8939
2011.84,14.6191
2011.8,14.8932
2011.78,15.3049
2011.73,15.579
2011.72,15.3042
2011.69,15.0445
2011.62,14.1588
2011.55,13.1207
2011.48,12.2503
2011.44,11.2429
2011.4,10.1899
2011.39,9.09128
2011.38,7.99279
2011.37,6.89429
2011.36,5.81103
2011.35,4.71251
2011.34,3.61399
2011.33,2.51546
2011.32,1.41692
2011.3,0.333618
2011.3,-2.51921
2011.29,-0.749703
2011.28,-1.49726
2011.28,-1.72612
2011.27,-1.83306
2011.25,-3.09953
2011.24,-2.32164
2011.23,-3.87776
2011.23,-4.51853
2011.22,-2.77944
2011.22,-3.42017
2011.22,-4.18297
2011.19,-2.13915
2011.18,-1.75788
2011.17,-1.26974
2011.16,-1.05626
2011.14,-0.309058
2011.13,0.850302
2011.12,1.97911
2011.11,3.06206
2011.09,4.145
2011.08,5.22798
2011.06,6.31093
2011.04,7.39385
2011.02,8.47676
2011,9.55966
2010.99,10.6426
2010.98,11.7409
2010.97,12.8392
2010.96,13.9222
2010.95,15.0206
2010.95,16.1189
2010.94,17.2173
2010.94,18.3156
2010.93,19.4139
2010.92,20.5122
2010.92,21.6105
2010.91,22.7089
2010.91,23.8072
2010.9,24.9056
2010.88,25.9885
2010.88,26.3393
2010.87,26.8732
2010.86,27.4222
2010.83,29.0237
2010.82,27.971
2010.81,30.1066
2010.81,29.054
2010.79,28.3062
2010.77,28.1382
2010.77,27.772
2010.75,26.6887
2010.75,26.8718
2010.74,25.7885
2010.73,25.6205
2010.69,26.81
2010.68,27.4506
2010.67,27.4352
2010.61,27.6482
2010.59,26.8393
2010.55,26.7016
2010.53,25.9996
2010.51,24.9315
2010.5,23.8025
2010.49,22.7191
2010.47,21.6357
2010.44,20.5524
2010.42,19.469
2010.41,18.8434
2010.4,18.4008
2010.38,17.7751
2010.35,16.8899
2010.33,17.9117
2010.32,15.8369
2010.3,16.9504
2010.29,17.9723
2010.29,18.9639
2010.29,18.4605
2010.27,20.0469
2010.26,21.1451
2010.25,22.2434
2010.24,23.3417
2010.22,24.4246
2010.21,25.5076
2010.21,27.0026
2010.19,26.5906
2010.19,27.4754
2010.15,29.6107
2010.15,29.8395
2010.15,28.5122
2010.15,28.7411
2010.13,27.6425
2010.1,27.4896
2010.09,25.7961
2010.09,26.6199
2010.08,26.6351
2010.04,25.6887
2010.01,24.5595
2009.99,23.4608
2009.97,22.3926
2009.95,21.3093
2009.94,20.226
2009.93,19.1275
2009.91,18.0136
2009.88,16.9149
2009.86,15.6179
2009.83,15.9532
2009.82,14.5649
2009.75,15.4183
2009.74,15.3725
2009.66,15.6156
2009.6,16.4692
2009.57,17.613
2009.56,18.7418
2009.55,19.84
2009.54,20.9383
2009.53,22.0366
2009.52,23.1349
2009.51,24.2637
2009.5,25.3773
2009.48,26.4143
2009.44,27.0547
2009.4,27.2372
2009.34,26.55
2009.32,26.3972
2009.29,26.1833
2009.23,25.9995
2009.21,27.0367
2009.2,27.0671
2009.18,28.0737
2009.18,28.8212
2009.17,28.9737
2009.16,29.3397
2009.15,29.1413
2009.15,29.8888
2009.11,30.1476
2009.11,29.9035
2009.07,30.0404
2009.07,31.1388
2009.06,30.5894
2009.06,31.1233
2009.05,30.8792
2009.05,32.1912
2009.05,33.3048
2009.05,35.1812
2009.04,34.4031
2009.03,37.1033
2009.03,35.4861
2009.02,38.3388
2009.02,40.8102
2009.02,42.3205
2009.02,39.5745
2009,43.9679
2008.99,43.0066
2008.97,41.908
2008.97,39.9858
2008.97,41.0842
2008.96,38.6127
2008.96,37.5143
2008.95,30.1
2008.95,34.2952
2008.94,36.1411
2008.94,35.0427
2008.94,33.1967
2008.94,32.083
2008.93,30.9846
2008.93,29.8862
2008.93,28.7877
2008.92,34.4322
2008.92,27.6892
2008.91,26.5908
2008.91,25.4923
2008.9,24.3939
2008.9,23.2955
2008.9,22.197
2008.89,21.1137
2008.86,20.0303
2008.83,19.0078
2008.77,18.0765
2008.69,17.2518
2008.65,16.214
2008.64,15.1306
2008.61,15.1913
2008.58,14.1841
2008.55,15.2516
2008.53,16.0753
2008.52,16.3192
2008.5,17.402
2008.48,18.5003
2008.47,19.5986
2008.47,20.6969
2008.46,21.7952
2008.45,22.8935
2008.45,23.9919
2008.44,25.0901
2008.43,26.1884
2008.42,27.2868
2008.42,28.3851
2008.41,29.4834
2008.4,30.5816
2008.37,31.6492
2008.32,34.3031
2008.32,32.1674
2008.32,32.6555
2008.32,33.2047
2008.31,31.1604
2008.29,30.1075
2008.29,29.5125
2008.28,29.009
2008.28,27.8953
2008.27,26.7968
2008.26,25.6983
2008.25,24.5998
2008.24,23.5013
2008.24,22.4028
2008.23,21.7163
2008.22,21.3042
2008.21,20.4956
2008.21,20.6328
2008.16,19.4881
2008.16,18.1303
2008.16,20.2356
2008.15,18.3896
2008.15,19.2287
2008.15,19.671
2008.14,21.227
2008.12,20.5403
2008.12,21.3641
2008.12,22.2489
2008.11,23.3319
2008.1,24.4454
2008.09,25.5437
2008.08,26.642
2008.07,27.7403
2008.07,28.8387
2008.06,29.937
2008.06,31.0354
2008.06,32.1337
2008.06,33.2321
2008.05,34.3304
2008.05,36.9543
2008.04,35.4288
2008.04,36.5271
2008.03,40.2494
2008.02,45.4666
2008.02,42.7206
2007.99,52.8804
2007.97,42.8573
2007.97,45.466
2007.97,49.4477
2007.96,40.5231
2007.96,41.2096
2007.94,37.2277
2007.94,35.7174
2007.94,32.5595
2007.94,33.6579
2007.94,34.7715
2007.94,31.4611
2007.93,30.3626
2007.93,29.2642
2007.93,28.1658
2007.93,27.0674
2007.93,34.39
2007.92,25.9689
2007.92,24.8705
2007.92,23.7721
2007.92,22.6736
2007.91,21.5752
2007.91,20.4768
2007.91,19.3783
2007.9,18.2799
2007.89,17.1814
2007.89,16.0829
2007.89,15.5642
2007.87,14.4809
2007.78,15.212
2007.77,15.273
2007.76,14.9983
2007.66,15.7141
2007.58,16.5828
2007.55,17.6198
2007.54,18.7333
2007.53,19.8468
2007.52,20.9298
2007.5,22.0128
2007.49,23.111
2007.48,24.194
2007.47,25.277
2007.45,26.36
2007.44,27.4582
2007.42,28.5412
2007.39,29.5629
2007.33,30.4776
2007.26,31.3311
2007.21,32.2458
2007.18,33.2981
2007.16,34.3963
2007.15,35.4792
2007.14,36.5775
2007.13,37.6758
2007.12,38.7588
2007.11,39.8571
2007.1,40.9554
2007.09,42.0384
2007.08,43.1367
2007.07,44.235
2007.06,45.318
2007.05,46.4163
2007.04,47.5145
2007.02,48.6128
2007.01,49.711
2007,50.8093
