X,Y
2018.87,14.9043
2018.75,13.5314
2018.62,11.604
2018.5,9.29373
2018.38,5.70297
2018.26,0.712871
2018.14,-2.13861
2018.14,-2.85149
2018.02,0.646865
2017.9,7.89439
2017.78,12.8713
2017.72,13.7822
2017.66,12.5017
2017.54,9.13531
2017.42,5.39934
2017.3,1.32013
2017.22,-0.475248
2017.18,-0.19802
2017.05,5.34653
2016.93,16.9241
2016.81,26.8911
2016.74,30.0594
2016.69,29.967
2016.57,29.2937
2016.45,31.7888
2016.33,41.6634
2016.25,49.0693
2016.24,50.495
2016.21,49.4389
2016.21,50.4818
2016.09,41.0429
2015.97,25.5314
2015.85,16.2244
2015.82,14.6139
2015.73,13.6238
2015.67,12.5941
2015.61,10.7327
2015.48,6.08581
2015.39,3.68317
2015.36,3.68317
2015.3,3.56436
2015.24,4.30363
2015.2,4.51485
2015.12,4.43564
2015,5.57096
2014.88,10.2178
2014.76,15.0495
2014.64,17.9142
2014.52,19.2079
2014.46,19.8416
2014.4,23.0363
2014.28,31.736
2014.16,37.6634
2014.13,38.0198
2014.04,34.3234
2013.91,29.2541
2013.9,28.2772
2013.81,27.9208
2013.79,28.4752
2013.67,33.5842
2013.55,40.6073
2013.55,39.4455
2013.46,41.2277
2013.43,38.9571
2013.43,40.4884
2013.43,39.3531
2013.31,33.1089
2013.19,25.0957
2013.07,19.7228
2012.95,16.6601
2012.83,14.5347
2012.71,13.2409
2012.59,12.6865
2012.47,12.462
2012.34,10.1122
2012.22,7.68317
2012.15,6.77228
2012.1,7.14191
2011.98,9.43894
2011.86,12.9637
2011.74,15.1551
2011.7,15.2079
2011.62,14.7987
2011.62,14.3762
2011.5,12.3168
2011.38,7.40594
2011.26,2.9703
2011.26,2.50825
2011.26,1.63696
2011.23,0.831683
2011.2,0.831683
2011.14,2.50825
2011.14,2.9967
2011.14,1.66337
2011.02,9.84818
2010.9,20.132
2010.77,26.297
2010.65,27.2079
2010.53,25.0561
2010.41,21.4917
2010.38,20.6733
2010.32,20.6733
2010.29,21.1089
2010.17,24.3432
2010.13,25.6634
2010.05,25.5446
2010.05,25.0033
2009.93,21.3597
2009.81,17.1089
2009.81,17.4257
2009.72,15.9208
2009.69,16.7261
2009.69,16.1584
2009.57,19.5248
2009.45,24.1452
2009.32,26.7459
2009.2,28.132
2009.08,31.1419
2009.04,31.9604
2008.96,31.7228
2008.96,31.1551
2008.84,24.5413
2008.72,18.5347
2008.6,16.7525
2008.6,17.1089
2008.48,20.5281
2008.36,26.0066
2008.24,26.2838
2008.12,27.2739
2008,30.165
2007.95,31.0099
2007.88,25.0429
2007.75,18.0858
2007.71,15.9208
2007.63,17.1881
2007.51,21.1617
2007.39,26.7723
2007.27,31.2079
2007.15,36.132
2007.03,43.3531
2006.95,46.3366
