X,Y
2018.93,-8.52041
2018.88,-9.4898
2018.78,-10.2551
2018.72,-9.69388
2018.69,-9.13265
2018.58,-4.64286
2018.43,-1.12245
2018.26,13.6735
2018.17,12.602
2018.13,8.0102
2018.02,9.28571
2017.93,-8.67347
2017.76,-10.3061
2017.66,-9.13265
2017.63,-7.19388
2017.54,-3.87755
2017.4,-1.17347
2017.25,13.6224
2017.16,12.5
2017.1,7.70408
2016.99,9.28571
2016.93,-8.52041
2016.77,-10.3061
2016.68,-9.28571
2016.62,-8.41837
2016.6,-5.35714
2016.5,-3.06122
2016.42,-1.27551
2016.25,13.6735
2016.18,12.551
2016.1,7.85714
2016.01,9.28571
2015.92,-8.77551
2015.76,-10.2041
2015.67,-9.03061
2015.64,-7.5
2015.5,-2.80612
2015.44,-1.32653
2015.3,12.602
2015.24,13.7245
2015.15,12.602
2015.09,7.85714
2015,9.28571
2014.94,-8.62245
2014.87,-9.54082
2014.77,-10.3061
2014.7,-9.64286
2014.67,-9.18367
2014.53,-4.08163
2014.41,-1.27551
2014.25,13.6735
2014.16,12.7041
2014.1,7.39796
2013.99,9.33673
2013.91,-8.62245
2013.84,-9.54082
2013.73,-10.3061
2013.66,-9.33673
2013.64,-8.62245
2013.57,-4.84694
2013.42,-1.32653
2013.25,13.6735
2013.16,12.6531
2013.08,7.7551
2012.99,9.33673
2012.92,-8.41837
2012.78,-10.3061
2012.66,-9.43878
2012.65,-8.52041
2012.54,-5
2012.42,-1.22449
2012.22,13.6735
2012.16,12.602
2012.09,7.7551
2012,9.33673
2011.92,-8.52041
2011.86,-9.33673
2011.76,-10.2551
2011.65,-9.28571
2011.57,-5.15306
2011.41,-1.12245
2011.23,13.5204
2011.18,12.9592
2011.14,12.449
2011.08,7.85714
2010.99,9.23469
2010.91,-8.67347
2010.85,-9.64286
2010.74,-10.4082
2010.73,-10.2041
2010.67,-9.64286
2010.65,-8.62245
2010.59,-5.66327
2010.43,-1.27551
2010.23,13.6224
2010.19,13.1633
2010.14,12.3469
2010.09,7.80612
2009.99,9.23469
2009.9,-8.26531
2009.88,-8.87755
2009.75,-10.3061
2009.64,-9.18367
2009.63,-8.36735
2009.58,-6.37755
2009.54,-4.18367
2009.4,-1.12245
2009.22,13.6224
2009.16,12.6531
2009.07,7.90816
2008.99,9.28571
2008.9,-8.57143
2008.87,-9.13265
2008.84,-9.4898
2008.75,-10.2551
2008.68,-9.7449
2008.65,-8.72449
2008.6,-6.53061
2008.57,-5.2551
2008.45,-2.60204
2008.4,-1.22449
2008.22,13.6735
2008.21,13.5204
2008.16,13.0612
2008.16,12.8061
2008.07,7.80612
2008,9.28571
2007.89,-8.52041
2007.86,-8.92857
2007.83,-9.54082
2007.72,-10.2551
2007.63,-9.23469
2007.63,-8.62245
2007.53,-4.38776
2007.41,-1.27551
2007.23,13.6224
2007.15,12.602
2007.12,11.1735
2007.11,8.76417
2007.11,9.30272
2007.08,7.09184
2007.05,7.95918
2007.02,8.52041
2007,8.93424
2006.98,9.33673
