X,Y
2018.93,1.00099
2018.85,-0.806342
2018.81,-0.470449
2018.69,0.605789
2018.56,-0.713091
2018.56,-0.278308
2018.44,1.24034
2018.44,1.04965
2018.44,1.57596
2018.36,1.1874
2018.32,-0.734527
2018.32,0.798654
2018.27,-3.06835
2018.19,-2.14494
2018.19,-1.68727
2018.07,-0.809357
2018.07,-2.86123
2018.04,-5.74434
2017.95,3.66124
2017.95,-0.045857
2017.93,4.82838
2017.82,2.75426
2017.7,0.817528
2017.58,-0.699674
2017.46,1.0173
2017.41,1.67356
2017.33,-0.492277
2017.26,-3.88618
2017.21,-3.1155
2017.21,-1.86455
2017.15,-1.27685
2017.09,-2.5427
2017.01,-5.18908
2016.96,0.112487
2016.93,5.38345
2016.84,4.31611
2016.72,0.350395
2016.66,-0.793408
2016.59,-0.220964
2016.59,0.427396
2016.47,-3.59171
2016.43,-3.40075
2016.35,-3.17146
2016.33,-4.56725
2016.26,13.9687
2016.23,11.6729
2016.1,4.06111
2016.01,-8.6157
2015.98,-7.08996
2015.86,-0.376806
2015.86,-1.64301
2015.73,1.11896
2015.66,2.37037
2015.61,0.837456
2015.49,-1.50354
2015.43,-1.60997
2015.36,-2.16644
2015.27,3.40238
2015.24,2.49485
2015.12,-0.00633135
2015.01,-6.27572
2015,-4.35343
2014.92,3.47311
2014.87,2.38261
2014.75,0.133139
2014.63,0.9958
2014.56,2.30814
2014.5,-1.31469
2014.43,-8.74368
2014.38,-4.85325
2014.33,3.20194
2014.26,3.9728
2014.15,5.74307
2014.13,3.6913
2014.01,-1.89913
2014.01,-2.3568
2013.89,-1.16614
2013.77,-3.14101
2013.64,3.54926
2013.64,1.23805
2013.57,6.08976
2013.52,4.28988
2013.41,-0.842974
2013.4,-0.217406
2013.32,1.90356
2013.27,0.210472
2013.17,-3.38157
2013.15,-2.65684
2013.03,0.425497
2012.9,-0.504367
2012.81,-0.839446
2012.78,-0.251927
2012.72,0.465444
2012.66,-0.0605096
2012.6,-1.11278
2012.54,-0.334386
2012.41,2.20638
2012.29,-1.68305
2012.24,-3.78804
2012.17,-0.812764
2012.17,0.262751
2012.07,1.36169
2012.04,-0.476419
2011.98,-4.33571
2011.92,1.18716
2011.89,2.94172
2011.86,1.77486
2011.8,0.653938
2011.67,0.479223
2011.55,0.29688
2011.43,2.31896
2011.31,-3.02738
2011.31,-2.18832
2011.24,-4.94921
2011.18,-2.21811
2011.17,-1.37897
2011.06,-1.34782
2011.06,-0.752857
2011,-2.81962
2010.94,1.58196
2010.92,4.11447
2010.83,4.25231
2010.81,3.00145
2010.74,-1.51373
2010.69,0.347712
2010.57,1.74432
2010.44,-1.16877
2010.32,-3.33433
2010.32,-4.18864
2010.2,2.45587
2010.17,4.3935
2010.08,1.41159
2010.08,0.755601
2009.98,1.37399
2009.95,0.0469424
2009.92,-1.44029
2009.83,-1.74486
2009.71,-0.821176
2009.58,-1.81969
2009.46,2.61277
2009.34,-0.83426
2009.34,0.340415
2009.24,-1.64226
2009.21,-1.13865
2009.15,-0.0627708
2009.09,-1.16843
2009.08,-1.84722
2008.97,7.39827
2008.97,12.3639
2008.91,-4.38627
2008.85,-3.71466
2008.74,0.351571
2008.72,0.122828
2008.6,-2.40887
2008.57,-3.49183
2008.49,-3.62868
2008.48,-1.66062
2008.35,6.31112
2008.32,7.42495
2008.23,-2.27702
2008.23,-5.20609
2008.17,-8.43227
2008.11,-6.15883
2008.11,-3.61879
2007.98,16.7938
2007.98,13.3003
2007.98,21.3247
2007.95,22.3928
2007.89,-9.87229
2007.86,-7.62954
2007.74,-0.123099
2007.74,-1.38931
2007.62,-1.4191
2007.57,-2.38755
2007.49,-0.205558
2007.46,1.11423
2007.38,2.35038
2007.37,1.6716
2007.25,-2.11105
2007.25,-1.42455
2007.14,-2.59097
2007.12,-1.53062
2007,3.58071
2006.98,4.54952
