variable,group,value,stat_test,stat_value,p_value
mean_age_years,HH,22.42,t,10.848,<0.001
mean_age_years,LL,21.02,t,10.848,<0.001
mean_slum_households,HH,469,U,551,0.038
mean_slum_households,LL,1402,U,551,0.038
mean_road_density_km_per_km2,HH,17.57,U,307,0.089
mean_road_density_km_per_km2,LL,14.45,U,307,0.089
mean_population_density_per_km2,HH,16109,U,631,0.001
mean_population_density_per_km2,LL,40638,U,631,0.001
mean_doctors_per_1000,HH,0.32,U,271,0.024
mean_doctors_per_1000,LL,0.18,U,271,0.024
mean_doctors_per_village,HH,9,U,327.5,0.164
mean_doctors_per_village,LL,7,U,327.5,0.164
age_group_lt5_pct,HH,11.8,chi2,95.79,<0.001
age_group_lt5_pct,LL,12.4,chi2,95.79,<0.001
age_group_5-15_pct,HH,25.8,chi2,95.79,<0.001
age_group_5-15_pct,LL,28.6,chi2,95.79,<0.001
age_group_15-24_pct,HH,23.7,chi2,95.79,<0.001
age_group_15-24_pct,LL,23.6,chi2,95.79,<0.001
age_group_gt24_pct,HH,38.8,chi2,95.79,<0.001
age_group_gt24_pct,LL,35.4,chi2,95.79,<0.001
sex_male_pct,HH,52.2,chi2,0.013,0.908
sex_male_pct,LL,52.2,chi2,0.013,0.908
sex_female_pct,HH,47.8,chi2,0.013,0.908
sex_female_pct,LL,47.8,chi2,0.013,0.908
occupation_transport_comm_count,HH,7,chi2,25.89,<0.001
occupation_transport_comm_pct,HH,31.8,chi2,25.89,<0.001
occupation_transport_comm_count,LL,24,chi2,25.89,<0.001
occupation_transport_comm_pct,LL,63.15,chi2,25.89,<0.001
occupation_service_count,HH,15,chi2,25.89,<0.001
occupation_service_pct,HH,68.2,chi2,25.89,<0.001
occupation_service_count,LL,3,chi2,25.89,<0.001
occupation_service_pct,LL,7.9,chi2,25.89,<0.001
occupation_manufacturing_count,HH,0,chi2,25.89,<0.001
occupation_manufacturing_count,LL,11,chi2,25.89,<0.001
water_retail_refill_count,HH,16,chi2,4.8,0.187
water_retail_refill_pct,HH,72.7,chi2,4.8,0.187
water_retail_refill_count,LL,18,chi2,4.8,0.187
water_retail_refill_pct,LL,47.36,chi2,4.8,0.187
water_metered_count,HH,5,chi2,4.8,0.187
water_metered_pct,HH,22.7,chi2,4.8,0.187
water_metered_count,LL,15,chi2,4.8,0.187
water_metered_pct,LL,39.48,chi2,4.8,0.187
water_borehole_pump_count,HH,1,chi2,4.8,0.187
water_borehole_pump_pct,HH,4.6,chi2,4.8,0.187
water_borehole_pump_count,LL,5,chi2,4.8,0.187
water_borehole_pump_pct,LL,13.16,chi2,4.8,0.187
