Municipality,District,Population_2024,Growth_Rate_2020_2024_%,Share_of_Total_%,Density_per_km2,Sex_Ratio_M_per_100_F
Jakarta Barat,Cengkareng,581788,-0.017,22.75,21921,102.36
Jakarta Barat,Grogol Petamburan,230173,-0.03,9,23040,97.95
Jakarta Barat,Kalideres,464076,-0.008,18.15,19883,101.92
Jakarta Barat,Kebon Jeruk,362641,-0.021,14.18,20169,99.93
Jakarta Barat,Kembangan,311262,-0.014,12.17,12883,100.08
Jakarta Barat,Palmerah,225842,-0.034,8.83,30072,101.55
Jakarta Barat,Taman Sari,122909,-0.03,4.81,15900,99.49
Jakarta Barat,Tambora,258061,-0.037,10.09,47789,102.94
Jakarta Barat,Total,2556752,-0.021,100,19737,101.1
Jakarta Pusat,Cempaka Putih,95404,,9.02,40086,99
Jakarta Pusat,Gambir,90638,,8.57,11942,101
Jakarta Pusat,Johar Baru,134250,,12.7,28625,102
Jakarta Pusat,Kemayoran,246798,,23.34,34041,100
Jakarta Pusat,Menteng,85016,,8.04,13019,101
Jakarta Pusat,Sawah Besar,120597,,11.41,19577,99
Jakarta Pusat,Senen,119388,,11.29,28291,102
Jakarta Pusat,Tanah Abang,165179,,15.62,17761,101
Jakarta Pusat,Total,1057270,0,100,,100.8
Jakarta Selatan,Cilandak,220968,9.61,9.48,12449,97.67
Jakarta Selatan,Jagakarsa,379385,-1.05,16.27,15139,100.12
Jakarta Selatan,Kebayoran Baru,148241,6.19,6.36,11682,98.12
Jakarta Selatan,Kebayoran Lama,322035,4.39,13.81,16896,100
Jakarta Selatan,Mampang Prapatan,152437,4.84,6.54,19199,101.49
Jakarta Selatan,Pancoran,174542,3.52,7.49,19678,99.41
Jakarta Selatan,Pasar Minggu,324691,6.7,13.93,15018,100.68
Jakarta Selatan,Pesanggrahan,264647,7.19,11.35,19618,99.64
Jakarta Selatan,Setiabudi,113147,5.35,4.85,12685,99
Jakarta Selatan,Tebet,231318,4.57,9.92,24740,98
Jakarta Selatan,Total,2331411,4.7,100,16085,
Jakarta Timur,Cakung,582327,-2.33,18.03,13775,102.86
Jakarta Timur,Cipayung,306965,-0.49,9.5,10791,100.78
Jakarta Timur,Ciracas,320779,-2.15,9.93,19951,100.32
Jakarta Timur,Duren Sawit,445443,-2.55,13.79,19672,98.98
Jakarta Timur,Jatinegara,318819,-3.18,9.87,31122,101.27
Jakarta Timur,Kramat Jati,317427,-2.44,9.83,24422,100.82
Jakarta Timur,Makasar,221367,-3.12,6.85,10132,99.84
Jakarta Timur,Matraman,182981,-3.94,5.66,37502,99.55
Jakarta Timur,Pasar Rebo,236387,-2.34,7.32,18214,100.75
Jakarta Timur,Pulogadung,297922,-3.6,9.22,19093,99.24
Jakarta Timur,Total,3230417,-2.53,100,17184,100.63
Jakarta Utara,Cilincing,445729,1.15,24.33,10233,103
Jakarta Utara,Kelapa Gading,144911,5.79,7.91,9111,95
Jakarta Utara,Koja,342279,0.39,18.68,29358,102
Jakarta Utara,Pademangan,166587,1.17,9.09,12584,103
Jakarta Utara,Penjaringan,326085,3.79,17.8,8097,101
Jakarta Utara,Tanjung Priok,406441,0.47,22.19,18068,101
Jakarta Utara,Total,1832032,1.67,100,12445,101
