Mode,Category,Subcategory,Metric,Unit,Year,Month,Value,Notes,Source
Air,Halim Perdanakusuma,Cargo – Domestic,Unload (inbound),kg,2024,Agustus,514594.0,Appendix 15 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Air,Halim Perdanakusuma,Cargo – Domestic,Unload (inbound),kg,2024,April,712272.0,Appendix 15 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Air,Halim Perdanakusuma,Cargo – Domestic,Unload (inbound),kg,2024,Desember,764398.0,Appendix 15 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Air,Halim Perdanakusuma,Cargo – Domestic,Unload (inbound),kg,2024,Februari,590665.0,Appendix 15 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Air,Halim Perdanakusuma,Cargo – Domestic,Unload (inbound),kg,2024,Januari,547399.0,Appendix 15 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Air,Halim Perdanakusuma,Cargo – Domestic,Unload (inbound),kg,2024,Juli,486104.0,Appendix 15 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Air,Halim Perdanakusuma,Cargo – Domestic,Unload (inbound),kg,2024,Juni,573779.0,Appendix 15 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Air,Halim Perdanakusuma,Cargo – Domestic,Unload (inbound),kg,2024,Maret,667234.0,Appendix 15 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Air,Halim Perdanakusuma,Cargo – Domestic,Unload (inbound),kg,2024,Mei,507575.0,Appendix 15 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Air,Halim Perdanakusuma,Cargo – Domestic,Unload (inbound),kg,2024,November,601355.0,Appendix 15 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Air,Halim Perdanakusuma,Cargo – Domestic,Unload (inbound),kg,2024,Oktober,514202.0,Appendix 15 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
