Mode,Category,Subcategory,Metric,Unit,Year,Month,Value,Notes,Source
Land,KRL Commuter Line,Bekasi/Cikarang Line,Average daily trips,trips/day,2022,,203.0,Tabel 2.7 (2022–2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Land,KRL Commuter Line,Bekasi/Cikarang Line,Average daily trips,trips/day,2023,,267.0,Tabel 2.7 (2022–2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Land,KRL Commuter Line,Bekasi/Cikarang Line,Average daily trips,trips/day,2024,,260.0,Tabel 2.7 (2022–2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Land,KRL Commuter Line,Bogor Line,Average daily trips,trips/day,2022,,424.0,Tabel 2.7 (2022–2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Land,KRL Commuter Line,Bogor Line,Average daily trips,trips/day,2023,,402.0,Tabel 2.7 (2022–2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Land,KRL Commuter Line,Bogor Line,Average daily trips,trips/day,2024,,379.0,Tabel 2.7 (2022–2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Land,KRL Commuter Line,Fleet additions,New units added,unit,2012,,90.0,Tabel 2.6 (JR 203),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Land,KRL Commuter Line,Fleet additions,New units added,unit,2013,,180.0,Tabel 2.6 (JR 205),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Land,KRL Commuter Line,Fleet additions,New units added,unit,2014,,176.0,Tabel 2.6 (JR 205),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Land,KRL Commuter Line,Fleet additions,New units added,unit,2015,,120.0,Tabel 2.6 (JR 205),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Land,KRL Commuter Line,Fleet additions,New units added,unit,2016,,60.0,Tabel 2.6 (JR 205),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Land,KRL Commuter Line,Fleet additions,New units added,unit,2017,,60.0,Tabel 2.6 (Tokyo Metro 6000),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Land,KRL Commuter Line,Fleet additions,New units added,unit,2018,,68.0,Tabel 2.6 (JR 205 + Tokyo Metro 6000),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Land,KRL Commuter Line,Fleet additions,New units added,unit,2019,,168.0,Tabel 2.6 (JR 205),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Land,KRL Commuter Line,Fleet additions,New units added,unit,2020,,120.0,Tabel 2.6 (JR 205),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Land,KRL Commuter Line,Fleet additions,New units added,unit,2021,,0.0,Tabel 2.6 (-),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Land,KRL Commuter Line,Fleet additions,New units added,unit,2022,,0.0,Tabel 2.6 (-),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Land,KRL Commuter Line,Fleet additions,New units added,unit,2023,,0.0,Tabel 2.6 (-),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Land,KRL Commuter Line,Fleet additions,New units added,unit,2024,,0.0,Tabel 2.6 (-),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Land,KRL Commuter Line,Passengers,Monthly passengers,people,2023,Agustus,24978901.0,Appendix 9 (2023),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Land,KRL Commuter Line,Passengers,Monthly passengers,people,2023,April,21401906.0,Appendix 9 (2023),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
