Mode,Category,Subcategory,Metric,Unit,Year,Month,Value,Notes,Source
Sea,Tanjung Priok,International,Cargo bongkar,ton,2020,,16921772.0,Tabel 3.2 (2020–2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo bongkar,ton,2021,,33143609.0,Tabel 3.2 (2020–2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo bongkar,ton,2022,,9168184.0,Tabel 3.2 (2020–2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo bongkar,ton,2023,,8651345.0,Tabel 3.2 (2020–2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo bongkar,ton,2024,Agustus,805346.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo bongkar,ton,2024,April,582914.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo bongkar,ton,2024,Desember,1408874.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo bongkar,ton,2024,Februari,575075.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo bongkar,ton,2024,Januari,713640.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo bongkar,ton,2024,Juli,753281.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo bongkar,ton,2024,Juni,631640.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo bongkar,ton,2024,Maret,573238.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo bongkar,ton,2024,Mei,860366.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo bongkar,ton,2024,November,1431536.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo bongkar,ton,2024,Oktober,1435728.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo bongkar,ton,2024,September,46972.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo bongkar,ton,2024,,9818610.0,Tabel 3.2 (2020–2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo muat,ton,2020,,7826899.0,Tabel 3.2 (2020–2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo muat,ton,2021,,20590295.0,Tabel 3.2 (2020–2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo muat,ton,2022,,654244.0,Tabel 3.2 (2020–2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo muat,ton,2023,,642772.0,Tabel 3.2 (2020–2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo muat,ton,2024,Agustus,17206.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo muat,ton,2024,April,31685.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo muat,ton,2024,Desember,37035.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo muat,ton,2024,Februari,23236.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo muat,ton,2024,Januari,18864.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo muat,ton,2024,Juli,16930.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo muat,ton,2024,Juni,22231.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo muat,ton,2024,Maret,10310.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo muat,ton,2024,Mei,5420.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo muat,ton,2024,November,44134.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
Sea,Tanjung Priok,International,Cargo muat,ton,2024,Oktober,31014.0,Appendix 12 (2024),"BPS Provinsi DKI Jakarta – Statistik Transportasi Provinsi DKI Jakarta 2024 (Vol 17, 2025)"
